Taxa Code,NAME with AUTHOR,Species Name,GENUS,SPECIES,INFRASPECIES_RANK,INFRASPECIES,AUTHOR,FAMILY,VOLUME_REFERENCE,NSL_ID,,
rostsp1,Rostanga sp. 1.,Rostanga sp. 1.,Rostanga,sp. 1.,,,,,,,,
aeolglau,"Aeolidiella glauca (Alder & Hancock, 1845)",Aeolidiella glauca,Aeolidiella,glauca,,,"(Alder & Hancock, 1845)",,,,,
tritsp3,Tritoniid sp. 3,Tritoniid sp. 3,Tritoniid,sp. 3,,,,,,,,
chroline,"Chromodoris lineolata (van Hasselt, 1824)",Chromodoris lineolata,Chromodoris,lineolata,,,"(van Hasselt, 1824)",,,,,
tritline,"Tritonia lineata Alder & Hancock, 1848",Tritonia lineata,Tritonia,lineata,,,"Alder & Hancock, 1848",,,,,
runnkati,"Runnica katipoides Miller & Rudman, 1968",Runnica katipoides,Runnica,katipoides,,,"Miller & Rudman, 1968",,,,,
tambsp6,Tambja sp. 6,Tambja sp. 6,Tambja,sp. 6,,,,,,,,
melicfaust,Melibe cf. australis,Melibe cf. australis,Melibe,cf. australis,,,,,,,,
fionpinn,"Fiona pinnata (Eschscholtz, 1831)",Fiona pinnata,Fiona,pinnata,,,"(Eschscholtz, 1831)",,,,,
traparmi,"Trapania armilla Gosliner & Fahey, 2008",Trapania armilla,Trapania,armilla,,,"Gosliner & Fahey, 2008",,,,,
elysorna,"Elysia ornata (Swainson, 1840)",Elysia ornata,Elysia,ornata,,,"(Swainson, 1840)",,,,,
noumsp3,Noumea sp. 3.,Noumea sp. 3.,Noumea,sp. 3.,,,,,,,,
elysobtu,"Elysia obtusa Baba, 1938",Elysia obtusa,Elysia,obtusa,,,"Baba, 1938",,,,,
polysp4,Polycera sp. 4.,Polycera sp. 4.,Polycera,sp. 4.,,,,,,,,
durvpusi,"Durvilledoris pusilla (Bergh, 1874)",Durvilledoris pusilla,Durvilledoris,pusilla,,,"(Bergh, 1874)",,,,,
hopknaka,"Okenia nakamotoensis (Hamatani, 2001)",Okenia nakamotoensis,Okenia,nakamotoensis,,,"(Hamatani, 2001)",,,,,
elyssp17,Elysia sp. 17,Elysia sp. 17,Elysia,sp. 17,,,,,,,,
elysgord,"Elysia gordanae Thompson & Jaklin, 1988",Elysia gordanae,Elysia,gordanae,,,"Thompson & Jaklin, 1988",,,,,
dendtube,"Dendrodoris tuberculosa  (Quoy & Gaimard, 1832)",Dendrodoris tuberculosa,Dendrodoris,tuberculosa,,,"(Quoy & Gaimard, 1832)",,,,,
chropurp,"Chromodoris purpurea (Risso in Guérin, 1831)",Chromodoris purpurea,Chromodoris,purpurea,,,"(Risso in Guérin, 1831)",,,,,
johareti,"Johania retifera  (Forbes, 1844)",Johania retifera,Johania,retifera,,,"(Forbes, 1844)",,,,,
eubrprie,"Eubranchus prietoi Llera & Ortea, 1981",Eubranchus prietoi,Eubranchus,prietoi,,,"Llera & Ortea, 1981",,,,,
jasomira,"Jason mirabilis Miller, 1974",Jason mirabilis,Jason,mirabilis,,,"Miller, 1974",,,,,
faceline,"Facelina lineata Eliot, 1905",Facelina lineata,Facelina,lineata,,,"Eliot, 1905",,,,,
janosp1,Janolus sp. 1.,Janolus sp. 1.,Janolus,sp. 1.,,,,,,,,
rostlute,"Rostanga lutescens (Bergh, 1905)",Rostanga lutescens,Rostanga,lutescens,,,"(Bergh, 1905)",,,,,
