Taxa Code,NAME with AUTHOR,Species Name,GENUS,SPECIES,INFRASPECIES_RANK,INFRASPECIES,AUTHOR,FAMILY,VOLUME_REFERENCE,NSL_ID,,
cuthabro,"Cuthona abronia (MacFarland, 1966)",Cuthona abronia,Cuthona,abronia,,,"(MacFarland, 1966)",,,,,
antocfjant,Antonietta cf. janthina,Antonietta cf. janthina,Antonietta,cf. janthina,,,,,,,,
janosp9,Janolus sp. 9,Janolus sp. 9,Janolus,sp. 9,,,,,,,,
gymnsp1,Gymnodoris sp. 1.,Gymnodoris sp. 1.,Gymnodoris,sp. 1.,,,,,,,,
atyscari,"Atys caribaeus (dOrbigny, 1841)",Atys caribaeus,Atys,caribaeus,,,"(dOrbigny, 1841)",,,,,
halgsp7,Halgerda sp. 7,Halgerda sp. 7,Halgerda,sp. 7,,,,,,,,
favoblia,"Favorinus blianus  Lemche & Thompson, 1974",Favorinus blianus,Favorinus,blianus,,,"Lemche & Thompson, 1974",,,,,
chromodsp1,Chromodorid sp. 1.,Chromodorid sp. 1.,Chromodorid,sp. 1.,,,,,,,,
dendelon,"Dendrodoris elongata  Baba, 1936",Dendrodoris elongata,Dendrodoris,elongata,,,"Baba, 1936",,,,,
dendronsp3,Dendronotus sp. 3,Dendronotus sp. 3,Dendronotus,sp. 3,,,,,,,,
phyllodsp8,Phyllodesmium sp. 8,Phyllodesmium sp. 8,Phyllodesmium,sp. 8,,,,,,,,
halliju,"Hallaxa iju Gosliner & Johnson, 1994",Hallaxa iju,Hallaxa,iju,,,"Gosliner & Johnson, 1994",,,,,
gymnsubf,"Gymnodoris subflava Baba, 1949",Gymnodoris subflava,Gymnodoris,subflava,,,"Baba, 1949",,,,,
halgmale,"Halgerda malesso Carlson & Hoff, 1993",Halgerda malesso,Halgerda,malesso,,,"Carlson & Hoff, 1993",,,,,
notadepr,"Notaeolidia depressa Eliot, 1905",Notaeolidia depressa,Notaeolidia,depressa,,,"Eliot, 1905",,,,,
hoplbram,"Hoplodoris bramale  Fahey & Gosliner, 2003",Hoplodoris bramale,Hoplodoris,bramale,,,"Fahey & Gosliner, 2003",,,,,
melaseur,"Melanochlamys seurati  (Vayssière, 1926)",Melanochlamys seurati,Melanochlamys,seurati,,,"(Vayssière, 1926)",,,,,
gastsp5,Gastropteron sp. 5,Gastropteron sp. 5,Gastropteron,sp. 5,,,,,,,,
nembsp10,Nembrotha sp. 10.,Nembrotha sp. 10.,Nembrotha,sp. 10.,,,,,,,,
chrovibr,"Chromodoris vibrata (Pease, 1860)",Chromodoris vibrata,Chromodoris,vibrata,,,"(Pease, 1860)",,,,,
discevel,"Discodoris evelinae Marcus, 1955",Discodoris evelinae,Discodoris,evelinae,,,"Marcus, 1955",,,,,
gymnrubr,"Gymnodoris rubropapulosa  (Bergh, 1905)",Gymnodoris rubropapulosa,Gymnodoris,rubropapulosa,,,"(Bergh, 1905)",,,,,
cuthpori,"Cuthona poritophages Rudman, 1979",Cuthona poritophages,Cuthona,poritophages,,,"Rudman, 1979",,,,,
doribert,"Doris bertheloti  (dOrbigny, 1839)",Doris bertheloti,Doris,bertheloti,,,"(dOrbigny, 1839)",,,,,
adalprox,"Adalaria proxima (Alder & Hancock, 1854)",Adalaria proxima,Adalaria,proxima,,,"(Alder & Hancock, 1854)",,,,,
chrobouc,"Chromodoris boucheti Rudman, 1982",Chromodoris boucheti,Chromodoris,boucheti,,,"Rudman, 1982",,,,,
chrocfge,Chromodoris cf. geminus,Chromodoris cf. geminus,Chromodoris,cf. geminus,,,,,,,,
chroanna,"Chromodoris annae Bergh, 1877",Chromodoris annae,Chromodoris,annae,,,"Bergh, 1877",,,,,
chrauri,"Chromodoris aurigera Rudman, 1990",Chromodoris aurigera,Chromodoris,aurigera,,,"Rudman, 1990",,,,,
hypssp10,Hypselodoris sp. 10,Hypselodoris sp. 10,Hypselodoris,sp. 10,,,,,,,,
noumniva,"Noumea nivalis  Baba, 1937",Noumea nivalis,Noumea,nivalis,,,"Baba, 1937",,,,,
siphsp4,Siphopteron sp. 4,Siphopteron sp. 4,Siphopteron,sp. 4,,,,,,,,
palisp1,Palisa sp. 1,Palisa sp. 1,Palisa,sp. 1,,,,,,,,
hypsnigs,"Hypselodoris nigrostriata (Eliot, 1904)",Hypselodoris nigrostriata,Hypselodoris,nigrostriata,,,"(Eliot, 1904)",,,,,
sakusaku,"Sakuraeolis sakuracea Hirano, 1999",Sakuraeolis sakuracea,Sakuraeolis,sakuracea,,,"Hirano, 1999",,,,,
cerbsp2,Cerberilla sp. 2.,Cerberilla sp. 2.,Cerberilla,sp. 2.,,,,,,,,
dotocfrosa,Doto cf. rosacea,Doto cf. rosacea,Doto,cf. rosacea,,,,,,,,
chronorr,"Chromodoris norrisi Farmer, 1963",Chromodoris norrisi,Chromodoris,norrisi,,,"Farmer, 1963",,,,,
goninodo,"Goniodoris nodosa  (Montagu, 1808)",Goniodoris nodosa,Goniodoris,nodosa,,,"(Montagu, 1808)",,,,,
risbgode,"Risbecia godeffroyana (Bergh, 1877)",Risbecia godeffroyana,Risbecia,godeffroyana,,,"(Bergh, 1877)",,,,,
hypstema,"Hypselodoris picta tema Edmunds, 1981",Hypselodoris picta tema,Hypselodoris,picta,,tema,"Edmunds, 1981",,,,,
armijuli,"Armina juliana Ardila & Diaz, 2002",Armina juliana,Armina,juliana,,,"Ardila & Diaz, 2002",,,,,
chelbero,"Chelidonura berolina Marcus & Marcus, 1970",Chelidonura berolina,Chelidonura,berolina,,,"Marcus & Marcus, 1970",,,,,
gastrubr,"Gastropteron rubrum (Rafinesque, 1814)",Gastropteron rubrum,Gastropteron,rubrum,,,"(Rafinesque, 1814)",,,,,
godisp2,Godiva sp. 2,Godiva sp. 2,Godiva,sp. 2,,,,,,,,
bajabert,"Bajaeolis bertschi Gosliner & Behrens, 1986",Bajaeolis bertschi,Bajaeolis,bertschi,,,"Gosliner & Behrens, 1986",,,,,
glossedn,"Glossodoris sedna (Marcus & Marcus, 1967)",Glossodoris sedna,Glossodoris,sedna,,,"(Marcus & Marcus, 1967)",,,,,
diausand,"Diaulula sandiegensis (Cooper, 1862)",Diaulula sandiegensis,Diaulula,sandiegensis,,,"(Cooper, 1862)",,,,,
neodchry,"Neodoris chrysoderma (Angas, 1864)",Neodoris chrysoderma,Neodoris,chrysoderma,,,"(Angas, 1864)",,,,,
aeolharr,"Aeolidiopsis harrietae Rudman, 1982",Aeolidiopsis harrietae,Aeolidiopsis,harrietae,,,"Rudman, 1982",,,,,
parainde,Paradoris indecora,Paradoris indecora,Paradoris,indecora,,,"(Bergh, 1881)",,,,,
learpoic,"Learchis poica Marcus & Marcus, 1960",Learchis poica,Learchis,poica,,,"Marcus & Marcus, 1960",,,,,
sakukire,"Sakuraeolis kirembosa Rudman, 1980",Sakuraeolis kirembosa,Sakuraeolis,kirembosa,,,"Rudman, 1980",,,,,
akersolu,"Akera  soluta (Gmelin, 1791)",Akera soluta,Akera,soluta,,,"(Gmelin, 1791)",,,,,
aegiexec,"Aegires exeches Fahey and Gosliner, 2004",Aegires exeches,Aegires,exeches,,,"Fahey and Gosliner, 2004",,,,,
bertquad,"Berthellina  quadridens (Morch, 1863).",Berthellina quadridens,Berthellina,quadridens,,,"(Morch, 1863).",,,,,
trapsp15,Trapania sp. 15,Trapania sp. 15,Trapania,sp. 15,,,,,,,,
glossymm,"Glossodoris symmetricus Rudman, 1990",Glossodoris symmetricus,Glossodoris,symmetricus,,,"Rudman, 1990",,,,,
ceraflav,"Ceratosoma flavicostatum (Baba, 1940)",Ceratosoma flavicostatum,Ceratosoma,flavicostatum,,,"(Baba, 1940)",,,,,
phylliza,"Phyllidiella lizae Brunckhorst, 1993",Phyllidiella lizae,Phyllidiella,lizae,,,"Brunckhorst, 1993",,,,,
chrcfcol,Chromodoris cf. colemani,Chromodoris cf. colemani,Chromodoris,cf. colemani,,,,,,,,
thurdeco,"Thuridilla decorata (Heller & Thompson, 1983)",Thuridilla decorata,Thuridilla,decorata,,,"(Heller & Thompson, 1983)",,,,,
rostdent,"Rostanga dentacus Rudman & Avern, 1989",Rostanga dentacus,Rostanga,dentacus,,,"Rudman & Avern, 1989",,,,,
noumvari,"Noumea varians (Pease, 1871)",Noumea varians,Noumea,varians,,,"(Pease, 1871)",,,,,
favosp6,Favorinus sp. 6,Favorinus sp. 6,Favorinus,sp. 6,,,,,,,,
philtrap,"Philine trapezia  Hedley, 1902",Philine trapezia,Philine,trapezia,,,"Hedley, 1902",,,,,
fryebayi,"Fryeria bayi Bouchet, 1983",Fryeria bayi,Fryeria,bayi,,,"Bouchet, 1983",,,,,
trapcfaura,Trapania cf. aurata,Trapania cf. aurata,Trapania,cf. aurata,,,,,,,,
jorupurp,Jorunna sp. 1.,Jorunna sp. 1.,Jorunna,sp. 1.,,,,,,,,
cuthgymn,"Cuthona gymnota (Couthouy, 1838)",Cuthona gymnota,Cuthona,gymnota,,,"(Couthouy, 1838)",,,,,
chrotinc,"Chromodoris tinctoria  (Ruppell & Leuckart, 1828)",Chromodoris tinctoria,Chromodoris,tinctoria,,,"(Ruppell & Leuckart, 1828)",,,,,
aegihaps,"Aegires hapsis Fahey and Gosliner, 2004",Aegires hapsis,Aegires,hapsis,,,"Fahey and Gosliner, 2004",,,,,
pleumacu,"Pleurobranchaea maculata (Quoy & Gaimard, 1832)",Pleurobranchaea maculata,Pleurobranchaea,maculata,,,"(Quoy & Gaimard, 1832)",,,,,
marioliv,"Marionia olivacea Baba, 1937",Marionia olivacea,Marionia,olivacea,,,"Baba, 1937",,,,,
aplynigr,"Aplysiopsis nigra (Baba, 1949)",Aplysiopsis nigra,Aplysiopsis,nigra,,,"(Baba, 1949)",,,,,
thursple,"Thuridilla splendens (Baba, 1949)",Thuridilla splendens,Thuridilla,splendens,,,"(Baba, 1949)",,,,,
thursp2,Thuridilla sp. 2,Thuridilla sp. 2,Thuridilla,sp. 2,,,,,,,,
facesp1,Facelina sp. 1,Facelina sp. 1,Facelina,sp. 1,,,,,,,,
dermstri,"Dermatobranchus striatellus Baba, 1949",Dermatobranchus striatellus,Dermatobranchus,striatellus,,,"Baba, 1949",,,,,
thordani,"Thorunna daniellae (Kay & Young, 1969)",Thorunna daniellae,Thorunna,daniellae,,,"(Kay & Young, 1969)",,,,,
thorcfaust,Thorunna cf. australis,Thorunna cf. australis,Thorunna,cf. australis,,,,,,,,
phylpect,"Phyllodesmium pecten Rudman, 1981",Phyllodesmium pecten,Phyllodesmium,pecten,,,"Rudman, 1981",,,,,
thorbima,"Thordisa bimaculata Lance, 1966",Thordisa bimaculata,Thordisa,bimaculata,,,"Lance, 1966",,,,,
philscab,"Philine scabra (Muller, 1776)",Philine scabra,Philine,scabra,,,"(Muller, 1776)",,,,,
hamivire,"Haminoea virescens (Sowerby, 1833)",Haminoea virescens,Haminoea,virescens,,,"(Sowerby, 1833)",,,,,
flabmarc,"Flabellina marcusorum Gosliner & Kuzirian, 1990",Flabellina marcusorum,Flabellina,marcusorum,,,"Gosliner & Kuzirian, 1990",,,,,
melileon,"Melibe leonina (Gould, 1852)",Melibe leonina,Melibe,leonina,,,"(Gould, 1852)",,,,,
chelsp2,Chelidonura sp. 2.,Chelidonura sp. 2.,Chelidonura,sp. 2.,,,,,,,,
elyschil,"Elysia chilkensis Eliot, 1916",Elysia chilkensis,Elysia,chilkensis,,,"Eliot, 1916",,,,,
philorca,"Philine orca  Gosliner, 1988",Philine orca,Philine,orca,,,"Gosliner, 1988",,,,,
hoplgran,"Hoplodoris grandiflora (Pease, 1860)",Hoplodoris grandiflora,Hoplodoris,grandiflora,,,"(Pease, 1860)",,,,,
glosdall,"Glossodoris dalli (Bergh, 1879)",Glossodoris dalli,Glossodoris,dalli,,,"(Bergh, 1879)",,,,,
bertsp1,Berthellina sp. 1.,Berthellina sp. 1.,Berthellina,sp. 1.,,,,,,,,
hypspurp,"Hypselodoris purpureomaculosa Hamatani, 1995",Hypselodoris purpureomaculosa,Hypselodoris,purpureomaculosa,,,"Hamatani, 1995",,,,,
limefusi,"Limenandra fusiformis (Baba, 1949)",Limenandra fusiformis,Limenandra,fusiformis,,,"(Baba, 1949)",,,,,
geitplan,"Geitodoris planata (Alder & Hancock, 1846)",Geitodoris planata,Geitodoris,planata,,,"(Alder & Hancock, 1846)",,,,,
midoaust,"Midorigai australis  Burn, 1960",Midorigai australis,Midorigai,australis,,,"Burn, 1960",,,,,
facerhod,"Facelina rhodopos Yonow, 2000",Facelina rhodopos,Facelina,rhodopos,,,"Yonow, 2000",,,,,
dendkreb,"Dendrodoris krebsii (Mörch, 1863)",Dendrodoris krebsii,Dendrodoris,krebsii,,,"(Mörch, 1863)",,,,,
philcali,Philine spp. In California,Philine spp. In California,Philine,spp.,,In California,,,,,,
philauri,"Philine auriformis Suter, 1909",Philine auriformis,Philine,auriformis,,,"Suter, 1909",,,,,
okenlikl,"Okenia liklik Gosliner, 2004",Okenia liklik,Okenia,liklik,,,"Gosliner, 2004",,,,,
bullisp1,Bullina sp. 1.,Bullina sp. 1.,Bullina,sp. 1.,,,,,,,,
siphtigr,"Siphopteron tigrinum Gosliner, 1989",Siphopteron tigrinum,Siphopteron,tigrinum,,,"Gosliner, 1989",,,,,
dendeliz,"Dendrodoris elizabethina (Kelaart, 1859)",Dendrodoris elizabethina,Dendrodoris,elizabethina,,,"(Kelaart, 1859)",,,,,
hermevel,"Hermaea evelinemarcusae Jensen, 1993",Hermaea evelinemarcusae,Hermaea,evelinemarcusae,,,"Jensen, 1993",,,,,
thecpaci,"Thecacera pacifica Bergh, 1883",Thecacera pacifica,Thecacera,pacifica,,,"Bergh, 1883",,,,,
elysdiom,"Elysia diomedea (Bergh, 1894)",Elysia diomedea,Elysia,diomedea,,,"(Bergh, 1894)",,,,,
phylhage,"Phyllidiella hageni  Fahrner & Beck, 2000",Phyllidiella hageni,Phyllidiella,hageni,,,"Fahrner & Beck, 2000",,,,,
halgaura,"Halgerda aurantiomaculata (Allan, 1932)",Halgerda aurantiomaculata,Halgerda,aurantiomaculata,,,"(Allan, 1932)",,,,,
jorucfspaz,"Jorunna cf. spazzola (Marcus, 1955)",Jorunna cf. spazzola,Jorunna,cf. spazzola,,,"(Marcus, 1955)",,,,,
chrosp14,Chromodoris sp. 14,Chromodoris sp. 14,Chromodoris,sp. 14,,,,,,,,
eubrtric,"Eubranchus tricolor  Forbes, 1838",Eubranchus tricolor,Eubranchus,tricolor,,,"Forbes, 1838",,,,,
hamisp3,Haminoea sp. 3.,Haminoea sp. 3.,Haminoea,sp. 3.,,,,,,,,
trithamn,"Tritonia hamnerorum Gosliner & Ghiselin, 1987",Tritonia hamnerorum,Tritonia,hamnerorum,,,"Gosliner & Ghiselin, 1987",,,,,
navapoly,"Navanax polyalphos (Gosliner & Williams, 1972)",Navanax polyalphos,Navanax,polyalphos,,,"(Gosliner & Williams, 1972)",,,,,
pleumeck,"Pleurobranchaea meckelii Leue, 1813",Pleurobranchaea meckelii,Pleurobranchaea,meckelii,,,"Leue, 1813",,,,,
glossp9,Glossodoris sp. 9,Glossodoris sp. 9,Glossodoris,sp. 9,,,,,,,,
thurmazd,"Thuridilla mazda Ortea & Espinosa, 2000",Thuridilla mazda,Thuridilla,mazda,,,"Ortea & Espinosa, 2000",,,,,
platcaro,Platydoris carolynae Mulliner & Sphon 1974,Platydoris carolynae,Platydoris,carolynae,,,Mulliner & Sphon 1974,,,,,
hypsvill,"Hypselodoris villafranca (Risso, 1818)",Hypselodoris villafranca,Hypselodoris,villafranca,,,"(Risso, 1818)",,,,,
aegicitr,"Aegires citrinus  Pruvot-Fol, 1930",Aegires citrinus,Aegires,citrinus,,,"Pruvot-Fol, 1930",,,,,
dendcarn,"Doriopsilla carneola (Angas, 1864)",Doriopsilla carneola,Doriopsilla,carneola,,,"(Angas, 1864)",,,,,
discsp2,Discodoris sp. 2.,Discodoris sp. 2.,Discodoris,sp. 2.,,,,,,,,
platsang,"Platydoris sanguinea Bergh, 1905",Platydoris sanguinea,Platydoris,sanguinea,,,"Bergh, 1905",,,,,
platform,"Platydoris formosa (Alder & Hancock, 1864)",Platydoris formosa,Platydoris,formosa,,,"(Alder & Hancock, 1864)",,,,,
tritince,"Tritonia incerta Bergh, 1904",Tritonia incerta,Tritonia,incerta,,,"Bergh, 1904",,,,,
diapliru,"Diaphorodoris lirulatocauda Millen, 1985",Diaphorodoris lirulatocauda,Diaphorodoris,lirulatocauda,,,"Millen, 1985",,,,,
cliolima,"Clione limacina (Phipps, 1774)",Clione limacina,Clione,limacina,,,"(Phipps, 1774)",,,,,
hypsmard,"Hypselodoris maridadilus Rudman, 1977",Hypselodoris maridadilus,Hypselodoris,maridadilus,,,"Rudman, 1977",,,,,
lophdani,"Lophodoris danielsseni Friele & Hansen, 1876",Lophodoris danielsseni,Lophodoris,danielsseni,,,"Friele & Hansen, 1876",,,,,
aplyvacc,"Aplysia vaccaria Winkler, 1955",Aplysia vaccaria,Aplysia,vaccaria,,,"Winkler, 1955",,,,,
hamizela,"Haminoea zelandiae (Gray, 1843)",Haminoea zelandiae,Haminoea,zelandiae,,,"(Gray, 1843)",,,,,
trapmela,"Trapania melaina Gosliner & Fahey, 2008",Trapania melaina,Trapania,melaina,,,"Gosliner & Fahey, 2008",,,,,
dotokoen,"Doto koenneckeri  Lemche, 1976",Doto koenneckeri,Doto,koenneckeri,,,"Lemche, 1976",,,,,
janocape,"Janolus capensis Bergh, 1907",Janolus capensis,Janolus,capensis,,,"Bergh, 1907",,,,,
eubrleop,"Eubranchus leopoldoi Caballer, Ortea & Espinosa, 2001",Eubranchus leopoldoi,Eubranchus,leopoldoi,,,"Caballer, Ortea & Espinosa, 2001",,,,,
anisnobi,"Peltodoris nobilis (MacFarland, 1905)",Peltodoris nobilis,Peltodoris,nobilis,,,"(MacFarland, 1905)",,,,,
hypslapi,"Hypselodoris lapislazuli (Bertsch & Ferreira, 1971)",Hypselodoris lapislazuli,Hypselodoris,lapislazuli,,,"(Bertsch & Ferreira, 1971)",,,,,
clioanta,"Clione antarctica (Smith, 1902)",Clione antarctica,Clione,antarctica,,,"(Smith, 1902)",,,,,
armisp6,Armina sp. 6,Armina sp. 6,Armina,sp. 6,,,,,,,,
pruvpsel,"Pruvotfolia pselliotes  (Labbe, 1923)",Pruvotfolia pselliotes,Pruvotfolia,pselliotes,,,"(Labbe, 1923)",,,,,
dondocci,"Dondice occidentalis (Engel, 1825)",Dondice occidentalis,Dondice,occidentalis,,,"(Engel, 1825)",,,,,
dorisp5,Doris sp. 5.,Doris sp. 5.,Doris,sp. 5.,,,,,,,,
chrorufo,"Chromodoris rufomaculata Pease, 1871",Chromodoris rufomaculata,Chromodoris,rufomaculata,,,"Pease, 1871",,,,,
glossibo,"Glossodoris sibogae (Bergh, 1905)",Glossodoris sibogae,Glossodoris,sibogae,,,"(Bergh, 1905)",,,,,
chrdec,"Chromodoris decora (Pease, 1860)",Chromodoris decora,Chromodoris,decora,,,"(Pease, 1860)",,,,,
janosp5,Janolus sp. 5,Janolus sp. 5,Janolus,sp. 5,,,,,,,,
onchspar,"Onchidoris sparsa (Alder & Hancock, 1846)",Onchidoris sparsa,Onchidoris,sparsa,,,"(Alder & Hancock, 1846)",,,,,
okenangelens,"Okenia angelensis Lance, 1966",Okenia angelensis,Okenia,angelensis,,,"Lance, 1966",,,,,
hypszeph,"Hypselodoris zephyra Gosliner & Johnson, 1999",Hypselodoris zephyra,Hypselodoris,zephyra,,,"Gosliner & Johnson, 1999",,,,,
ilbiilbi,"Ilbia ilbi Burn, 1963",Ilbia ilbi,Ilbia,ilbi,,,"Burn, 1963",,,,,
glospala,"Glossodoris paladentatus Rudman, 1986",Glossodoris paladentatus,Glossodoris,paladentatus,,,"Rudman, 1986",,,,,
rhodopemorpha,Rhodopemorpha,Rhodopemorpha,Rhodopemorpha,,,, ,,,,,
elyssp13,Elysia sp. 13,Elysia sp. 13,Elysia,sp. 13,,,,,,,,
armicali,"Armina californica (Cooper, 1863)",Armina californica,Armina,californica,,,"(Cooper, 1863)",,,,,
dotosp7,Doto sp. 7,Doto sp. 7,Doto,sp. 7,,,,,,,,
hermcfbifi,"Hermaea cf. bifida (Montagu, 1815)",Hermaea cf. bifida,Hermaea,cf. bifida,,,"(Montagu, 1815)",,,,,
nembcham,"Nembrotha chamberlaini Gosliner & Behrens, 1997",Nembrotha chamberlaini,Nembrotha,chamberlaini,,,"Gosliner & Behrens, 1997",,,,,
acteeloi,"Acteon eloiseae Abbott, 1973",Acteon eloiseae,Acteon,eloiseae,,,"Abbott, 1973",,,,,
pupasoli,"Pupa solidula  Linnaeus, 1758",Pupa solidula,Pupa,solidula,,,"Linnaeus, 1758",,,,,
phesmela,"Phestilla melanobrachia Bergh, 1874",Phestilla melanobrachia,Phestilla,melanobrachia,,,"Bergh, 1874",,,,,
ancusp1,Ancula sp. 1,Ancula sp. 1,Ancula,sp. 1,,,,,,,,
phylocel,"Phyllidia ocellata Cuvier, 1804",Phyllidia ocellata,Phyllidia,ocellata,,,"Cuvier, 1804",,,,,
phyllodsp4,Phyllodesmium sp. 4,Phyllodesmium sp. 4,Phyllodesmium,sp. 4,,,,,,,,
thorsp1,Thorunna sp. 1,Thorunna sp. 1,Thorunna,sp. 1,,,,,,,,
polyhumm,"Polycera hummi Abbott, 1952",Polycera hummi,Polycera,hummi,,,"Abbott, 1952",,,,,
parasp1,Paradoris sp. 1,Paradoris sp. 1,Paradoris,sp. 1,,,,,,,,
palicook,"Paliolla cooki (Angas, 1864)",Paliolla cooki,Paliolla,cooki,,,"(Angas, 1864)",,,,,
halgbrun,"Halgerda brunneomaculata Carlson & Hoff, 1993",Halgerda brunneomaculata,Halgerda,brunneomaculata,,,"Carlson & Hoff, 1993",,,,,
chrstriavar,Chromodoris striatella - spotted form,Chromodoris spotted form - spotted form,Chromodoris,spotted form,,- spotted form,,,,,,
dotosp11,Doto sp. 11,Doto sp. 11,Doto,sp. 11,,,,,,,,
glossp13,Glossodoris sp. 13,Glossodoris sp. 13,Glossodoris,sp. 13,,,,,,,,
phylnigr,"Phyllidiella nigra (van Hasselt, 1824).",Phyllidiella nigra,Phyllidiella,nigra,,,"(van Hasselt, 1824)",,,,,
flabbico,"Flabellina bicolor (Kelaart, 1858)",Flabellina bicolor,Flabellina,bicolor,,,"(Kelaart, 1858)",,,,,
hypsfuca,"Hypselodoris fucata Gosliner & Johnson, 1999",Hypselodoris fucata,Hypselodoris,fucata,,,"Gosliner & Johnson, 1999",,,,,
dendgutt,"Dendrodoris guttata (Odhner, 1917)",Dendrodoris guttata,Dendrodoris,guttata,,,"(Odhner, 1917)",,,,,
tambsp2,Tambja sp. 2.,Tambja sp. 2.,Tambja,sp. 2.,,,,,,,,
godiquad,"Godiva quadricolor (Barnard, 1927)",Godiva quadricolor,Godiva,quadricolor,,,"(Barnard, 1927)",,,,,
gigaalbu,"Gigantonotum album Lin Guangyu & Tchang Si, 1965",Gigantonotum album,Gigantonotum,album,,,"Lin Guangyu & Tchang Si, 1965",,,,,
trapeury,"Trapania euryeia Gosliner & Fahey, 2008",Trapania euryeia,Trapania,euryeia,,,"Gosliner & Fahey, 2008",,,,,
phyltula,"Phyllidia tula Marcus & Marcus, 1970",Phyllidia tula,Phyllidia,tula,,,"Marcus & Marcus, 1970",,,,,
cuthocel,"Cuthona ocellata (Schmekel, 1966)",Cuthona ocellata,Cuthona,ocellata,,,"(Schmekel, 1966)",,,,,
cuthgeno,"Cuthona genovae ODonoghue, 1926",Cuthona genovae,Cuthona,genovae,,,"ODonoghue, 1926",,,,,
tritsp7,Tritoniid sp. 7,Tritoniid sp. 7,Tritoniid,sp. 7,,,,,,,,
dotovara,"Doto varaderoensis Ortea, 2001",Doto varaderoensis,Doto,varaderoensis,,,"Ortea, 2001",,,,,
phyllori,"Phyllidiopsis loricata (Bergh, 1873)",Phyllidiopsis loricata,Phyllidiopsis,loricata,,,"(Bergh, 1873)",,,,,
nembsp3,Nembrotha spp,Nembrotha spp,Nembrotha,spp,,, ,,,,,
hexamors,"Hexabranchus morsomus Marcus, 1962",Hexabranchus morsomus,Hexabranchus,morsomus,,,"Marcus, 1962",,,,,
chelinor,"Chelidonura inornata Baba, 1949",Chelidonura inornata,Chelidonura,inornata,,,"Baba, 1949",,,,,
vercverc,"Verconia verconis (Basedow & Hedley, 1905)",Verconia verconis,Verconia,verconis,,,"(Basedow & Hedley, 1905)",,,,,
notogard,"Notodoris gardineri Eliot, 1906.",Notodoris gardineri,Notodoris,gardineri,,,"Eliot, 1906.",,,,,
elystris,"Elysia trisinuata Baba, 1949",Elysia trisinuata,Elysia,trisinuata,,,"Baba, 1949",,,,,
micund,"Micromelo undata (Bruguiere, 1792)?",Micromelo undata,Micromelo,undata,,,"(Bruguiere, 1792)?",,,,,
aplysaga,"Aplysia sagamiana Baba, 1949",Aplysia sagamiana,Aplysia,sagamiana,,,"Baba, 1949",,,,,
dotodunn,"Doto dunnei  Lemche, 1976",Doto dunnei,Doto,dunnei,,,"Lemche, 1976",,,,,
dendiris,"Dendronotus iris Cooper, 1863",Dendronotus iris,Dendronotus,iris,,,"Cooper, 1863",,,,,
tambfant,"Tambja fantasmalis Ortea & Garcia Gomez, 1986",Tambja fantasmalis,Tambja,fantasmalis,,,"Ortea & Garcia Gomez, 1986",,,,,
digikulo,"Digidentis kulonba  (Burn, 1966)",Digidentis kulonba,Digidentis,kulonba,,,"(Burn, 1966)",,,,,
goniodsp2,Goniodoridella sp. 2,Goniodoridella sp. 2,Goniodoridella,sp. 2,,,,,,,,
disclitu,"Paradoris liturata (Bergh,  1905)",Paradoris liturata,Paradoris,liturata,,,"(Bergh, 1905)",,,,,
melimega,"Melibe megaceras Gosliner, 1987",Melibe megaceras,Melibe,megaceras,,,"Gosliner, 1987",,,,,
carmarma,"Hoplodoris armata (Baba, 1993)",Hoplodoris armata,Hoplodoris,armata,,,"(Baba, 1993)",,,,,
dotolanc,"Doto lancei Marcus & Marcus, 1967",Doto lancei,Doto,lancei,,,"Marcus & Marcus, 1967",,,,,
flabbert,"Flabellina bertschi Gosliner & Kuzirian, 1990",Flabellina bertschi,Flabellina,bertschi,,,"Gosliner & Kuzirian, 1990",,,,,
costsp3,Costasiella sp. 3,Costasiella sp. 3,Costasiella,sp. 3,,,,,,,,
chrorob,"Chromodoris roboi Gosliner & Behrens, 1998",Chromodoris roboi,Chromodoris,roboi,,,"Gosliner & Behrens, 1998",,,,,
gymnnigr,Gymnodoris nigricolor,Gymnodoris nigricolor,Gymnodoris,nigricolor,,, ,,,,,
aplypunc,"Aplysia punctata Cuvier, 1803",Aplysia punctata,Aplysia,punctata,,,"Cuvier, 1803",,,,,
sagapsyc,"Sagaminopteron psychedelicum Carlson & Hoff, 1974",Sagaminopteron psychedelicum,Sagaminopteron,psychedelicum,,,"Carlson & Hoff, 1974",,,,,
trapgosl,"Trapania goslineri Millen & Bertsch, 2000",Trapania goslineri,Trapania,goslineri,,,"Millen & Bertsch, 2000",,,,,
dendcoro,"Dendrodoris coronata  Kay & Young, 1969",Dendrodoris coronata,Dendrodoris,coronata,,,"Kay & Young, 1969",,,,,
pupacocc,"Pupa coccinata (Reeve, 1842)",Pupa coccinata,Pupa,coccinata,,,"(Reeve, 1842)",,,,,
philori,"Philine orientalis A. Adams, 1854",Philine orientalis,Philine,orientalis,,,"A. Adams, 1854",,,,,
thurmult,"Thuridilla multimarginata Gosliner, 1995",Thuridilla multimarginata,Thuridilla,multimarginata,,,"Gosliner, 1995",,,,,
facebile,"Facelina bilineata Hirano in Hirano & Ito, 1998",Facelina bilineata,Facelina,bilineata,,,"Hirano in Hirano & Ito, 1998",,,,,
