#,IMAGE FILENAME,AUTHOR,CAPTION
636,Hi_til_stembase1.JPG,NC Duke,Stembase characteristics
637,Hi_til_tree3.JPG,NC Duke,Tree form
638,Hp_man_diag1w.jpg,NC Duke,Diagnostic feature
639,Hp_man_distribW2.jpg,NC Duke,Distribution in the world
640,Hp_man_flower1w.jpg,NC Duke,Flower features
641,Hp_man_flower2w.jpg,NC Duke,Flower features
642,Hp_man_fruit1w.JPG,NC Duke,Fruit or propagule
643,Hp_man_leaves2w.jpg,NC Duke,Leaf characteristics and shape
644,Hp_man_siloCB.jpg,NC Duke,Silohuette of growth habit
645,Hp_man_stembase1w.jpg,NC Duke,Stembase characteristics
646,Hp_man_tree1w.jpg,NC Duke,Tree form
647,In_fag_bark1.JPG,NC Duke,Bark characteristics
648,In_fag_distribW2.jpg,NC Duke,Distribution in the world
649,In_fag_fruit1.JPG,NC Duke,Fruit or propagule
650,In_fag_fruit2.JPG,NC Duke,Fruit or propagule
651,In_fag_leaves3.JPG,NC Duke,Leaf characteristics and shape
652,In_fag_leaves6.JPG,NC Duke,Leaf characteristics and shape
653,In_fag_siloCB.jpg,Deirdre Bean,Silohuette of growth habit
654,In_fag_stembase1.JPG,NC Duke,Stembase characteristics
655,In_fag_tree1.JPG,NC Duke,Tree form
656,Ka_can_distribW2.jpg,NC Duke,Distribution in the world
657,Ka_can_flower1.jpg,NC Duke,Flower features
658,Ka_can_flower3.jpg,NC Duke,Flower features
659,Ka_can_fruit1.jpg,NC Duke,Fruit or propagule
660,Ka_can_fruit2.jpg,NC Duke,Fruit or propagule
661,Ka_can_leaves2.jpg,NC Duke,Leaf characteristics and shape
662,Ka_can_phen2.jpg,NC Duke,Months of flowering and fruiting by Latitude
663,Ka_can_siloB.jpg,Deirdre Bean,Silohuette of growth habit
664,Ka_can_tree2.jpg,NC Duke,Tree form
665,Ka_obo_bark1.JPG,NC Duke,Bark characteristics
666,Ka_obo_distribW2.jpg,NC Duke,Distribution in the world
667,Ka_obo_flower1.JPG,NC Duke,Flower features
668,Ka_obo_flower2.JPG,NC Duke,Flower features
669,Ka_obo_fruit1.JPG,NC Duke,Fruit or propagule
670,Ka_obo_fruit2.JPG,NC Duke,Fruit or propagule
671,Ka_obo_leaves2.JPG,NC Duke,Leaf characteristics and shape
672,Ka_obo_phen2.jpg,NC Duke,Months of flowering and fruiting by Latitude
673,Ka_obo_siloCB.jpg,Deirdre Bean,Silohuette of growth habit
674,Ka_obo_stembase1.JPG,NC Duke,Stembase characteristics
675,Ka_obo_tree2.JPG,NC Duke,Tree form
676,La_rac_bark1.JPG,NC Duke,Bark characteristics
677,La_rac_distribW2.jpg,NC Duke,Distribution in the world
678,La_rac_flower1.JPG,NC Duke,Flower features
679,La_rac_flower3.JPG,NC Duke,Flower features
680,La_rac_flower6A.jpg,NC Duke,Flower features
681,La_rac_fruit2.JPG,NC Duke,Fruit or propagule
682,La_rac_fruit5.JPG,NC Duke,Fruit or propagule
683,La_rac_leaves6.JPG,NC Duke,Leaf characteristics and shape
684,La_rac_phen2.jpg,NC Duke,Months of flowering and fruiting by Latitude
685,La_rac_siloB.jpg,Deirdre Bean,Silohuette of growth habit
686,La_rac_stembase5.JPG,NC Duke,Stembase characteristics
687,La_rac_tree8.JPG,NC Duke,Tree form
688,La_rac_tree9.JPG,NC Duke,Tree form
689,Ln_pat_bark1.jpg,NC Duke,Bark characteristics
690,Ln_pat_distribW1.jpg,NC Duke,Distribution in the world
691,Ln_pat_flower1.jpg,NC Duke,Flower features
692,Ln_pat_fruit1.jpg,NC Duke,Fruit or propagule
693,Ln_pat_fruit2.jpg,NC Duke,Fruit or propagule
694,Ln_pat_leaves1.jpg,NC Duke,Leaf characteristics and shape
695,Ln_pat_phen1.jpg,NC Duke,Months of flowering and fruiting by Latitude
696,Ln_pat_siloB.jpg,Deirdre Bean,Silohuette of growth habit
697,Ln_pat_stembase1.jpg,NC Duke,Stembase characteristics
698,Ln_pat_tree1.jpg,NC Duke,Tree form
699,Lo_mon_distribW2.jpg,NC Duke,Distribution in the world
700,Lo_mon_flower1w.jpg,NC Duke,Flower features
701,Lo_mon_fruit1.JPG,NC Duke,Fruit or propagule
702,Lo_mon_leaves1.JPG,NC Duke,Leaf characteristics and shape
703,Lo_mon_leaves4.JPG,NC Duke,Leaf characteristics and shape
704,Lo_mon_siloB2.jpg,Deirdre Bean,Silohuette of growth habit
705,Lo_mon_stembase1.JPG,NC Duke,Stembase characteristics
706,Lo_mon_tree2.JPG,NC Duke,Tree form
707,Lu_lit_bark2.jpg,NC Duke,Bark characteristics
708,Lu_lit_distribW2.jpg,NC Duke,Distribution in the world
709,Lu_lit_flower1.JPG,NC Duke,Flower features
710,Lu_lit_flower2.JPG,NC Duke,Flower features
711,Lu_lit_flower5.jpg,NC Duke,Flower features
712,Lu_lit_fruit2.jpg,NC Duke,Fruit or propagule
713,Lu_lit_fruit3.jpg,NC Duke,Fruit or propagule
714,Lu_lit_leaves1.JPG,NC Duke,Leaf characteristics and shape
715,Lu_lit_phen1.jpg,NC Duke,Months of flowering and fruiting by Latitude
716,Lu_lit_siloB.jpg,Deirdre Bean,Silohuette of growth habit
717,Lu_lit_stembase1.JPG,NC Duke,Stembase characteristics
718,Lu_lit_tree1.JPG,NC Duke,Tree form
719,Lu_lit_tree4.jpg,NC Duke,Tree form
720,Lu_rac_bark3.jpg,NC Duke,Bark characteristics
721,Lu_rac_distribW2.jpg,NC Duke,Distribution in the world
722,Lu_rac_flower2.JPG,NC Duke,Flower features
723,Lu_rac_flower3.jpg,NC Duke,Flower features
